# Metrics file written by Glyphs 3.3

SEGMENT SPACING
#Name;Width;LSB;RSB;
T;odieresis;-16
T;s;-64
T;semicolon;-48
T;udieresis;-16
V;germandbls;-32
V;guillemetleft;-96
V;guillemetright;-96
V;i;-88
V;i;-88
V;odieresis;-80
V;s;-96
V;seven;-64
V;udieresis;-64
W;germandbls;-32
W;guillemetleft;-96
W;guillemetright;-96
W;i;-88
W;i;-88
W;odieresis;-80
W;s;-80
W;seven;-64
W;udieresis;-64
X;i;-32
Y;guillemetleft;-96
Y;guillemetright;-96
Y;i;-96
Y;i;-96
Y;s;-96
Y;seven;-96
a;quoteright;-32
b;quotesingle;-16
bracketleft;J;48
bracketleft;seven;48
c;Adieresis;-32
c;seven;-16
c;seven;-16
colon;space;-96
comma;quoteright;-64
comma;space;-64
d;quotesingle;-16
eight;five;-40
eight;seven;-16
f;bracketright;48
f;comma;-32
f;exclam;48
f;question;24
f;space;-32
f_f;comma;-32
f_f;exclam;48
f_f;question;24
five;five;-40
five;nine;-24
five;six;-24
five;zero;-40
four;five;-48
four;seven;-40
germandbls;Adieresis;-32
germandbls;C;-24
germandbls;T;-16
germandbls;V;-16
germandbls;W;-16
germandbls;Y;-16
germandbls;asterisk;-16
guillemetleft;V;-96
guillemetleft;W;-96
guillemetleft;Y;-96
guillemetleft;i;-96
guillemetright;V;-96
guillemetright;W;-96
guillemetright;Y;-96
guillemetright;i;-96
hyphen;V;-96
hyphen;W;-96
hyphen;i;-80
k;hyphen;-16
l;quotesingle;-24
n;quoteright;-16
n;quotesingle;-64
nine;five;-16
parenleft;J;48
parenleft;seven;48
period;quoteright;-64
period;space;-64
quoteleft;Y;16
quoteright;m;-32
quoteright;s;-64
quoteright;space;-64
quotesingle;U;16
quotesingle;i;-64
quotesingle;i;-64
r;comma;-32
r;m;16
r;n;16
r;question;32
r;space;-24
s;quotesingle;-32
semicolon;space;-96
seven;comma;-64
seven;five;-24
seven;i;-64
six;five;-24
slash;i;-32
space;W;-80
space;Y;-96
space;i;-64
space;quoteleft;-64
space;space;-200
three;five;-24
two;five;-40
two;seven;-24
u;quotesingle;-48
v;comma;-48
w;comma;-48
w;odieresis;-16
w;seven;-16
y;Adieresis;-48
y;V;-80
y;W;-80
y;Y;-80
y;comma;-48
y;seven;16
y;slash;-16
zero;five;-24
zero;three;-24
